comment_id,issue_id,author_id,body,created_at
bca4d7b3-6a21-46fb-bf70-253e6cc2f2c2,cb2a4db0-d23a-47b4-bbaf-325337ae6218,a21a7586-f0a6-4043-a7ca-ebbedf389120,Customer impact confirmed; prioritize for current sprint.,2025-06-15T08:23:32.357847
bd4285db-e6db-4c94-81b4-f4d36f2c96e5,b391a8eb-0722-4db8-939e-ed90aef09a5e,ee574da4-3269-4ac0-964e-f4cf1615c34c,Customer impact confirmed; prioritize for current sprint.,2025-07-03T09:53:32.357847
7e380feb-c1fb-450a-83cb-aa3806332efa,e2e53651-caee-4513-a130-e27a16349b76,3d850fec-4172-4ea8-bc95-783c32d4eed0,Needs clarification on acceptance criteria.,2025-07-24T02:49:32.357847
180fb88a-cb00-4e7f-9de2-e41ace0de2c6,4e769dce-0baf-420f-b3d3-7cf2e04731a3,625cd1fe-f894-496c-8836-cd9ae52baf62,Validated locally; requesting peer review.,2025-05-15T02:28:32.357847
b6ff5703-ab93-4e2d-8d26-8a5f7b1d747f,cca30e6e-8fb1-48fa-929f-674ec0aaf793,3da7a350-3c23-4279-a9d9-a12ad9a94ea8,Needs clarification on acceptance criteria.,2025-08-16T18:14:32.357847
07387b9b-4372-4b3c-b0ad-cd0c8895c2f6,cd676d06-8a52-43d4-afb6-f5d8677e1069,4fe34e58-4a57-4fdd-9044-4773d2aededc,Needs clarification on acceptance criteria.,2025-10-24T07:06:32.357847
ce543da6-822e-44ec-bd55-60f01f89cc80,df64f3b1-b3d3-476c-9f2c-3711c535cb35,73b37fe4-f9cb-4134-a799-afb8b97f24cc,Dependency pending from another team; tracking ETA.,2025-08-25T23:30:32.357847
23c87e44-56c4-41d2-ad93-c408b34e7188,8de1ffd6-17ec-4249-bd7a-bd6fa37ae459,90ec6ff0-0423-4e83-ada5-45c51c02a97d,Customer impact confirmed; prioritize for current sprint.,2026-01-05T04:09:32.357847
310fc5b1-5b8a-4726-be43-769d34f71a31,06b09325-8df5-4ad4-b35a-1d219cd43d1b,e2230b86-78d5-42c7-93fd-f24b6dd76c1b,Dependency pending from another team; tracking ETA.,2025-08-12T21:51:32.357847
bdf5083f-df4e-4cf8-9304-14c2a224940a,2fb3d33f-a03a-459c-842e-8b9e9e9177b2,c81151e6-5ebf-463a-932d-d22a96c4766c,Repro steps added; please verify in staging.,2026-01-27T19:34:32.357847
458ecbca-c5ab-4d6a-b68b-34b37a92c7df,8956bb63-f3c2-4786-b13d-141c0b7eb8cb,43f9d052-d7b6-405c-88aa-613d8c040bfc,Dependency pending from another team; tracking ETA.,2025-11-19T05:16:32.357847
926a3b40-fbc8-4728-95b8-329987595a93,824f6983-ad4d-47ed-839b-0cd150607f1f,86b590ea-2c47-43cf-8cf4-598d9448c85c,Needs clarification on acceptance criteria.,2025-08-31T13:47:32.357847
d8a6a5db-fcf8-4a5a-b810-1815cc7f650a,6d2eb80e-f895-4933-9c79-1cc511871cf8,d7a340be-7652-4dc1-aa98-c50143252682,Customer impact confirmed; prioritize for current sprint.,2025-04-09T00:15:32.357847
7faa2b2a-686f-4da4-bfa1-2bf346c8725c,797ab92e-4215-458e-9c97-8e7e9c450ffe,166b7362-131d-405f-bce6-ff144f34abb5,Edge case discovered; updating test coverage.,2025-11-14T22:38:32.357847
751e7815-13ac-4e44-8494-9367df0b412e,d7dbfd80-dde1-45af-9990-aa246d2e9bda,cf369555-9185-418a-9f83-ce31d6b543a1,Validated locally; requesting peer review.,2025-10-22T00:55:32.357847
144d0955-c1fa-4391-8cc4-0e95a87b524b,fdf9fb97-6cc3-4f7c-99aa-eee87e237fbf,6f4b4c95-5f0f-439f-bb66-6e5aecb854b0,Edge case discovered; updating test coverage.,2025-12-12T07:21:32.357847
446644c8-56af-4d52-93fa-e7a8ed8f5cbb,4b2333c6-a164-473d-891d-9ae517da0a53,b0c454b8-e3b0-447c-b351-923b66ccb138,Edge case discovered; updating test coverage.,2025-06-09T05:45:32.357847
0a2d3739-7805-4f26-93bb-c37f600a299a,c314f54c-4cc6-4d4d-b2eb-7f1985b0a8f3,6682c0e4-4f59-4cfc-86f0-b3fe50da57e7,Validated locally; requesting peer review.,2025-05-19T23:47:32.357847
a3149c73-39a6-4006-91ff-4eae97f7f89c,885f0444-2331-4147-973b-7145da463456,70809490-2904-4583-a48b-a08cef6e99ca,Edge case discovered; updating test coverage.,2025-12-14T11:53:32.357847
a4135549-f1c8-419f-bd92-4da35b12b5b4,720f24c1-7744-41a8-88ae-c50ba3efb2f0,8642e6d1-0c4c-403d-97d3-3a22243deb3c,Validated locally; requesting peer review.,2025-11-18T09:41:32.357847
1d6c0a97-e5ca-4268-83ef-21553e700857,824f6983-ad4d-47ed-839b-0cd150607f1f,bfe4d1c6-8ab9-4797-9574-6c1e779b598a,Needs clarification on acceptance criteria.,2025-08-29T01:47:32.357847
5824a00d-c7fc-4e68-a178-c944468a5c24,885f0444-2331-4147-973b-7145da463456,5bc0d6a6-72f0-4872-83a1-d82bcab627e0,Validated locally; requesting peer review.,2025-12-17T09:53:32.357847
72785366-749d-4f67-81b1-40613c4f0776,edc448b6-4932-4695-b345-fd0361d771b0,4471af19-53e4-4879-8797-f75e76373e9b,Repro steps added; please verify in staging.,2025-04-30T03:24:32.357847
b9270f55-c9f6-4337-95db-aef8f0c7dafc,d80d13c6-2ea3-4590-b401-1d006d066019,3a1546a0-5e58-4682-b3d2-70cb1093bebf,Validated locally; requesting peer review.,2025-07-02T00:08:32.357847
4cf4db36-3374-4b69-82c7-7d9f773f02c3,f673eb11-060b-4416-88c9-0f6fd19743bc,e4f65f02-a2e1-4409-9eb3-02d18e1d2707,Validated locally; requesting peer review.,2025-10-14T14:23:32.357847
